psp_reference,outlier_score
58756530972,0.04428721
18019847418,0.068493135
34515128250,0.00089236157
26454753814,0.0013053194
68292821134,0.03415291
69310086136,0.00675781
85886835430,0.015114109
44606411765,0.007891197
45104142313,0.09620211
28000895502,0.025136644
77216321777,0.0013482315
23382223708,0.04410333
27214733308,0.23532641
45524281895,0.015631255
62692030329,0.055156775
45361964662,0.026606746
22245068986,0.014577429
22477328357,0.018020682
84271379734,0.04162667
84958974951,0.045537345
75181079314,0.120332375
38450675538,0.0021712945
11249471219,0.001671963
25091037677,0.027214933
64574161915,0.014830501
44424740967,0.018266104
62200965586,0.06719936
50008133008,0.25084168
19610880038,0.010298881
21141222472,0.012042722
70396686751,0.0041496623
75936460605,0.004405021
11534784343,0.045153018
23438547753,0.055648956
21613579047,0.011308576
77309295399,0.0051592323
32714302387,0.042664595
40895519356,0.03773535
81744917420,0.033128668
81050422906,0.022853116
56545037632,0.0011887233
34558538091,0.003518341
58360057778,0.025537465
78149686921,0.0015163546
48600435945,0.024423193
76428508986,0.022742005
12359069065,0.0034675675
71071474455,0.0053811707
82262801962,0.033717792
15479537596,0.0010675678
14315106174,0.21084331
46048131907,0.03220229
36379849487,0.059335355
39737024522,0.02311326
23549628512,0.39360765
68022689114,0.11354114
25311268123,0.020426836
71311829510,0.24170184
29630203744,0.0058290674
40641216872,0.2432228
56904801195,0.0013117311
66303561678,0.2872532
32523911834,0.0018955186
26379963318,0.114156246
79545203047,0.094671205
38017127107,0.0026613837
65040866017,0.023078132
53625814778,0.018680308
74585263384,0.0048751296
29920552744,0.012291792
63966419351,0.021934668
57651519021,0.04178362
42641376200,0.55310786
85534726223,0.00074840547
33029230988,0.002031267
66603400427,0.0016847842
12901781262,0.022984603
55765399962,0.036732618
79892708824,0.009929814
13442113304,0.0017602687
12213508021,0.06015977
51359370969,0.051999502
75730389604,0.08646972
29087879535,0.001494607
80268801752,0.00940011
29767553612,0.001962263
76678696984,0.022977486
36917201405,0.0081582125
42703647248,0.019330755
13948550806,0.041439064
36550163822,0.01744018
26624538417,0.0015485048
51281937404,0.0027338285
59759432257,0.010770957
39908399412,0.010536799
13946705747,0.0012987265
58501366449,0.0013982126
45061049342,0.029426146
81121807019,0.012642133
47777096131,0.011460716
46493066984,0.100820534
63659968952,0.04339769
19247592651,0.0011948561
19347379173,0.0015051868
34775151002,0.006009274
74745095338,0.0018621844
11441395229,0.017237358
71518417680,0.039638735
72645148331,0.0010168052
31915820710,0.033653714
31423061470,0.0013494971
11446326935,0.1041345
87665006461,0.048815593
61179160872,0.017455988
67441600048,0.02000799
54190545345,0.011935393
68562272340,0.0015968333
22923243236,0.0104591735
88292287118,0.0025505302
89551263487,0.03518561
68845606839,0.08211032
50139575431,0.012506395
82941348569,0.04374741
51078122593,0.014313359
41398924111,0.0011547162
25331683587,0.001272418
68659657595,0.0015381506
41616185001,0.014927849
26623257398,0.009432025
63939070799,0.015718808
32910989362,0.13910355
36685154711,0.32712618
67855875052,0.016447285
86658295363,0.014103413
62814711737,0.005888129
79532784065,0.021476164
14105506403,0.053555697
57497059157,0.015994063
20131968569,0.042873785
69135764713,0.0029300118
58456585393,0.04886066
11310087736,0.0021926742
89562520424,0.010975598
20805089103,0.054229204
31618613467,0.04368717
72651710400,0.019554116
58891615556,0.0026402217
13943136581,0.010475638
76556586437,0.019860592
62219502855,0.32599127
20574478850,0.008658042
40499105609,0.042658683
82054427218,0.005847432
50106531727,0.004975935
50313182131,0.033536248
58185211025,0.0036324125
73517436974,0.0358081
62231584352,0.0022239755
52051209809,0.07662491
36977304842,0.0165787
56847048777,0.022678271
58573677273,0.032933284
22251499078,0.00776489
13021071389,0.018597666
14144845568,0.007986607
34227350964,0.017973583
45624320259,0.1874482
46457459676,0.0010026802
24361994318,0.017631264
77834654353,0.08230431
15145689418,0.013026168
10884386419,0.3141545
32037151394,0.015711607
46261242818,0.04043829
22681254269,0.0018011939
20668457654,0.018829742
62823437096,0.0012373034
28944018167,0.011108854
44499042956,0.019686125
48978717443,0.013697257
65075557576,0.021526815
77349614951,0.0030220228
58783133765,0.09569605
16453129694,0.03633125
31333907999,0.05049396
64464736973,0.0068358458
71589673575,0.015646566
13620238576,0.007801945
40328550532,0.0022426893
85122576492,0.0074471184
25398857456,0.039708987
50842649138,0.0027671813
81124023377,0.0014753254
45693217913,0.0031910234
77608374547,0.0009536814
38453345825,0.90183944
17911063802,0.0031804978
51819483793,0.014535381
42828666051,0.011483431
53883509521,0.054466315
61969168718,0.012628154
86618876305,0.024377538
41929395046,0.04867813
84916051484,0.032555416
53119336626,0.028037861
64900549212,0.020957641
67662990172,0.0330783
79339620158,0.12513287
66345167694,0.0019795264
10254880773,0.018786367
73121907463,0.0052023125
19606194310,0.047522143
78217879634,0.0058526495
62669749016,0.013616981
59145814692,0.0102153
34335599552,0.014276109
71329659427,0.2762447
80040594188,0.0029519845
16501582325,0.0018447615
47565888596,0.09196494
28097742697,0.0010313996
64162259243,0.02059586
25700703153,0.037208892
64598042248,0.0023871816
71214874637,0.02392245
15432623135,0.5737686
38506454852,0.022597836
41667165625,0.0022991968
13871849332,0.01563868
57396169527,0.0027108884
40346906608,0.058160312
89792000500,0.015110738
41043484113,0.014442175
67089756812,0.010762599
64743081111,0.002103491
76243729458,0.045921043
81820168549,0.06378726
19116348791,0.34948164
73382816639,0.012266919
29459061236,0.08259721
45371413669,0.0016947358
23513227355,0.013363918
42698288215,0.002699562
71153514694,0.008373175
15440913415,0.0019926375
16443043919,0.005820303
18572494069,0.017393723
40724349975,0.011194894
85737983098,0.0025080603
28582591686,0.0010297195
77466575549,0.014272995
17718454882,0.043174043
62810384617,0.45147887
73687638935,0.012886285
68388420468,0.009319952
82777626411,0.01039124
54911558631,0.31162214
27936330643,0.34402338
51855581019,0.025506793
60008586038,0.011129787
88508291452,0.008724747
44928302422,0.036246564
50843932360,0.009149663
67180336527,0.013701589
72315079235,0.008607818
65817383425,0.0095584765
71294975054,0.028037585
52384355323,0.015462594
48316261946,0.014154565
68847790563,0.022783512
57708921247,0.0009662896
16974091874,0.0012170622
14121331372,0.11409061
43885137627,0.0034600706
84930755006,0.00322161
28183680516,0.1927161
16755681989,0.018969074
69704272284,0.0053733815
35476968798,0.018284325
59443768767,0.012104139
42668565475,0.0014897881
62343238936,0.032534573
